"TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description"
"05/28/19,Bought,EQ,KL,400,-12684.95,31.7,4.95,***KIRKLAND LAKE GOLD LTD     COMMON SHARES"
"05/28/19,Bought,EQ,PYPL,100,-11218.65,112.137,4.95,PAYPAL HOLDINGS INC           COM"
"05/28/19,Bought,EQ,MSFT,150,-19184.36,127.8627,4.95,MICROSOFT CORP"
"05/28/19,Sold,EQ,SEAS,-300,9259.83,30.8834,4.95,SEAWORLD ENTERTAINMENT INC    COM"
"05/28/19,Sold,EQ,TSS,-100,12054.79,120.6,4.95,TOTAL SYSTEM SERVICES INC"
"05/28/19,Bought,EQ,SEAS,200,-6090,30.45,0,SEAWORLD ENTERTAINMENT INC    COM"
"05/28/19,Bought,EQ,SEAS,100,-3048.95,30.44,4.95,SEAWORLD ENTERTAINMENT INC    COM"
"05/28/19,Sold,EQ,PLAN,-200,8624.85,43.15,4.95,ANAPLAN INC                   COMMON STOCK"
"05/28/19,Bought,EQ,PLAN,200,-8424.95,42.1,4.95,ANAPLAN INC                   COMMON STOCK"
"05/28/19,Bought,EQ,TSS,100,-11926.95,119.22,4.95,TOTAL SYSTEM SERVICES INC"
"05/28/19,Reorganization,BOND,912796VD8,-250000,250000,0,0,UNITED STATES TREASURY BILL   RE-ISSUE 04/30/2019           "
"05/28/19,Interest,EQ,#2145605,0,331.95,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               "
